,iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,Unnamed: 0,Country Name,Country Code,2020
0,ABW,Aruba,2021-12-28,163537.0,84624.0,78913.0,,93.0,60.0,152.56,78.94,73.62,,560.0,34.0,0.032,0,Aruba,ABW,
1,AFG,Afghanistan,2021-11-27,5228706.0,4397449.0,3566192.0,,4015.0,15991.0,13.13,11.04,8.95,,401.0,16001.0,0.04,2,Afghanistan,AFG,20116137326.0
2,AGO,Angola,2021-12-23,11164918.0,7423668.0,3741250.0,,,44955.0,32.9,21.88,11.03,,1325.0,22178.0,0.065,4,Angola,AGO,58375976293.0
3,ALB,Albania,2021-12-23,2286235.0,1131547.0,1018549.0,136139.0,9865.0,7389.0,79.58,39.39,35.45,4.74,2572.0,2487.0,0.087,5,Albania,ALB,14887629268.0
4,AND,Andorra,2021-12-12,115709.0,56628.0,50551.0,8530.0,1973.0,1326.0,149.58,73.21,65.35,11.03,17142.0,76.0,0.098,6,Andorra,AND,
5,ARE,United Arab Emirates,2021-12-24,22406584.0,9890348.0,9059559.0,3456677.0,29515.0,22862.0,224.27,98.99,90.68,34.6,2288.0,307.0,0.003,8,United Arab Emirates,ARE,358869000000.0
6,ARG,Argentina,2021-12-28,75644660.0,38036381.0,32414222.0,5020870.0,858958.0,252694.0,165.87,83.4,71.07,11.01,5541.0,48152.0,0.106,9,Argentina,ARG,389288000000.0
7,ARM,Armenia,2021-12-26,1626738.0,934028.0,692082.0,628.0,,11444.0,54.81,31.47,23.32,0.02,3856.0,4338.0,0.146,10,Armenia,ARM,12641209802.0
8,ATG,Antigua and Barbuda,2021-12-19,120657.0,62154.0,58503.0,,432.0,94.0,122.21,62.95,59.26,,952.0,26.0,0.026,12,Antigua and Barbuda,ATG,1370281481.0
9,AUS,Australia,2021-12-28,42272089.0,20417817.0,19709450.0,2144822.0,37087.0,88519.0,163.92,79.17,76.43,8.32,3433.0,7716.0,0.03,13,Australia,AUS,1327840000000.0
10,AUT,Austria,2021-12-28,16323415.0,6602962.0,6443122.0,3620635.0,51862.0,36056.0,180.51,73.02,71.25,40.04,3987.0,3634.0,0.04,14,Austria,AUT,433258000000.0
11,AZE,Azerbaijan,2021-12-28,11255847.0,5161039.0,4666161.0,1428647.0,31242.0,22647.0,110.1,50.48,45.64,13.97,2215.0,2338.0,0.023,15,Azerbaijan,AZE,42607176471.0
12,BDI,Burundi,2021-12-23,7543.0,4010.0,3533.0,,47.0,182.0,0.06,0.03,0.03,,15.0,0.0,0.0,16,Burundi,BDI,2841786382.0
13,BEL,Belgium,2021-12-28,21451272.0,8905193.0,8794535.0,4175345.0,51630.0,63109.0,184.41,76.56,75.6,35.89,5425.0,1209.0,0.01,17,Belgium,BEL,521861000000.0
14,BEN,Benin,2021-12-27,1773592.0,1699784.0,1319264.0,,,23970.0,14.24,13.65,10.6,,1925.0,22919.0,0.184,18,Benin,BEN,15651545332.0
15,BFA,Burkina Faso,2021-12-22,1053330.0,972376.0,649320.0,,,39484.0,4.9,4.52,3.02,,1837.0,75658.0,0.35200000000000004,19,Burkina Faso,BFA,17933606353.0
16,BGD,Bangladesh,2021-12-17,132282376.0,87546674.0,44735702.0,,570616.0,728418.0,79.54,52.64,26.9,,4380.0,288712.0,0.174,20,Bangladesh,BGD,323057000000.0
17,BGR,Bulgaria,2021-12-28,3662560.0,1904143.0,1900536.0,255636.0,3866.0,5823.0,53.11,27.61,27.56,3.71,844.0,5601.0,0.081,21,Bulgaria,BGR,69889347433.0
18,BHR,Bahrain,2021-12-28,3204347.0,1201721.0,1176171.0,826455.0,9267.0,9678.0,183.28,68.74,67.28,47.27,5536.0,663.0,0.038,22,Bahrain,BHR,34729228723.0
19,BHS,Bahamas,2021-12-23,300214.0,157041.0,147365.0,6954.0,6771.0,994.0,75.64,39.57,37.13,1.75,2504.0,303.0,0.076,23,"Bahamas, The",BHS,9907500000.0
20,BIH,Bosnia and Herzegovina,2021-11-30,1553874.0,882641.0,720631.0,22572.0,66884.0,13791.0,47.61,27.05,22.08,0.69,4226.0,1900.0,0.058,24,Bosnia and Herzegovina,BIH,19946496563.0
21,BLR,Belarus,2021-12-19,7708200.0,4356041.0,3228165.0,114146.0,,70068.0,81.63,46.13,34.19,1.21,7420.0,41685.0,0.441,25,Belarus,BLR,60258239056.0
22,BLZ,Belize,2021-12-23,424634.0,230125.0,199119.0,,5470.0,547.0,104.87,56.83,49.18,,1351.0,71.0,0.018000000000000002,26,Belize,BLZ,1636280797.0
23,BMU,Bermuda,2021-12-17,110329.0,46194.0,45213.0,18922.0,,544.0,177.69,74.4,72.82,30.47,8761.0,20.0,0.032,27,Bermuda,BMU,6842700000.0
24,BOL,Bolivia,2021-12-27,9556929.0,5492333.0,4533537.0,514570.0,47065.0,29323.0,80.77,46.42,38.31,4.35,2478.0,14599.0,0.123,28,Bolivia,BOL,36572764863.0
25,BRA,Brazil,2021-12-28,329861730.0,166062249.0,142965728.0,25758909.0,850365.0,503738.0,154.15,77.6,66.81,12.04,2354.0,72526.0,0.034,29,Brazil,BRA,1444730000000.0
26,BRB,Barbados,2021-12-26,298339.0,155500.0,142839.0,,10.0,151.0,103.7,54.05,49.65,,525.0,37.0,0.013,30,Barbados,BRB,4418000000.0
27,BRN,Brunei,2021-12-14,790506.0,405092.0,385414.0,,3827.0,4049.0,179.04,91.75,87.29,,9170.0,76.0,0.017,31,Brunei Darussalam,BRN,12005825770.0
28,BTN,Bhutan,2021-12-20,1154843.0,589762.0,565081.0,,414.0,50.0,148.08,75.62,72.46,,64.0,19.0,0.002,32,Bhutan,BTN,2315437338.0
29,BWA,Botswana,2021-12-23,2137289.0,1131709.0,1005580.0,,10435.0,1117.0,89.16,47.21,41.95,,466.0,714.0,0.03,33,Botswana,BWA,15061922802.0
30,CAF,Central African Republic,2021-12-15,790782.0,446712.0,344070.0,,12887.0,32183.0,16.07,9.08,6.99,,6541.0,6511.0,0.132,34,Central African Republic,CAF,2380087758.0
31,CAN,Canada,2021-12-28,67258088.0,31656469.0,29366330.0,6235289.0,119521.0,205417.0,176.68,83.16,77.14,16.38,5396.0,16076.0,0.042,35,Canada,CAN,1644040000000.0
32,CHE,Switzerland,2021-12-27,13590563.0,5964075.0,5816710.0,1946997.0,67402.0,49599.0,155.94,68.43,66.74,22.34,5691.0,2323.0,0.027000000000000003,37,Switzerland,CHE,752248000000.0
33,CHL,Chile,2021-12-27,43512540.0,17232371.0,16479441.0,10374380.0,94696.0,59010.0,226.48,89.69,85.78,54.0,3071.0,7737.0,0.04,39,Chile,CHL,252940000000.0
34,CHN,China,2021-12-28,2795716000.0,1225000000.0,1203362000.0,120580000.0,13847000.0,12720000.0,193.58,84.82,83.32,8.35,8808.0,2002548.0,0.139,40,China,CHN,14722700000000.0
35,CIV,Cote d'Ivoire,2021-12-12,4812235.0,3306299.0,1505936.0,,156394.0,40494.0,17.79,12.22,5.57,,1497.0,26568.0,0.098,41,Cote d'Ivoire,CIV,61348579465.0
36,CMR,Cameroon,2021-12-14,986281.0,806176.0,627046.0,,9890.0,1740.0,3.62,2.96,2.3,,64.0,1556.0,0.006,42,Cameroon,CMR,40804449726.0
37,COD,Democratic Republic of Congo,2021-12-28,291286.0,226134.0,105945.0,,,1718.0,0.32,0.24,0.11,,19.0,1612.0,0.002,43,"Congo, Dem. Rep.",COD,48716960860.0
38,COG,Congo,2021-12-15,1295601.0,734721.0,560880.0,,1486.0,87780.0,22.9,12.99,9.91,,15517.0,26949.0,0.476,44,"Congo, Rep.",COG,10187122341.0
39,COL,Colombia,2021-12-26,63753706.0,38140578.0,27874207.0,3000665.0,114016.0,159410.0,124.36,74.4,54.37,5.85,3109.0,39153.0,0.076,45,Colombia,COL,271438000000.0
40,COM,Comoros,2021-12-10,527119.0,282378.0,244741.0,,,322.0,59.33,31.78,27.55,,362.0,36.0,0.004,46,Comoros,COM,1235400352.0
41,CPV,Cape Verde,2021-12-17,571130.0,302802.0,255954.0,,4461.0,2286.0,101.64,53.89,45.55,,4068.0,289.0,0.051,47,Cabo Verde,CPV,1703698677.0
42,CRI,Costa Rica,2021-12-27,7756348.0,3944932.0,3505176.0,306240.0,,29312.0,150.93,76.76,68.21,5.96,5704.0,1671.0,0.033,48,Costa Rica,CRI,61846895121.0
43,CUB,Cuba,2021-12-26,30023092.0,10397970.0,9604132.0,1409376.0,86460.0,93215.0,265.28,91.88,84.86,12.45,8236.0,11631.0,0.103,50,Cuba,CUB,107352000000.0
44,CUW,Curacao,2021-12-28,213366.0,104170.0,96556.0,,2446.0,1308.0,129.47,63.21,58.59,,7937.0,58.0,0.035,51,Curacao,CUW,2595821709.0
45,CYM,Cayman Islands,2021-12-23,130608.0,58591.0,56891.0,,226.0,74.0,196.41,88.11,85.55,,1113.0,7.0,0.011,52,Cayman Islands,CYM,5591623665.0
46,CYP,Cyprus,2021-12-23,1541159.0,664971.0,607884.0,268304.0,9105.0,12411.0,172.0,74.22,67.84,29.94,13851.0,3976.0,0.444,53,Cyprus,CYP,24612646488.0
47,CZE,Czechia,2021-12-28,15335120.0,6810045.0,6633927.0,2294763.0,68928.0,34816.0,142.99,63.5,61.86,21.4,3246.0,2335.0,0.022,54,Czech Republic,CZE,245349000000.0
48,DEU,Germany,2021-12-25,146617900.0,61409129.0,58888401.0,29888598.0,34698.0,627143.0,174.75,73.19,70.19,35.62,7475.0,57210.0,0.068,55,Germany,DEU,3846410000000.0
49,DJI,Djibouti,2021-12-15,135032.0,108945.0,26087.0,,,3818.0,13.47,10.87,2.6,,3810.0,3818.0,0.381,56,Djibouti,DJI,3384385217.0
50,DMA,Dominica,2021-12-22,57044.0,29426.0,27618.0,,270.0,77.0,79.04,40.77,38.27,,1067.0,35.0,0.048,57,Dominica,DMA,504214814.8
51,DNK,Denmark,2021-12-27,11892658.0,4792286.0,4549739.0,2597446.0,108036.0,68404.0,204.58,82.44,78.26,44.68,11767.0,3983.0,0.069,58,Denmark,DNK,356085000000.0
52,DOM,Dominican Republic,2021-12-27,14042660.0,6934218.0,5692235.0,1416207.0,863.0,4633.0,128.2,63.3,51.97,12.93,423.0,1238.0,0.011,59,Dominican Republic,DOM,78844702329.0
53,DZA,Algeria,2021-12-21,12545356.0,7060737.0,5609040.0,25381.0,147230.0,15433.0,28.12,15.83,12.57,0.06,346.0,5837.0,0.013,60,Algeria,DZA,145009000000.0
54,ECU,Ecuador,2021-12-27,27304608.0,14167326.0,12569652.0,1037664.0,91289.0,55289.0,152.64,79.2,70.27,5.8,3091.0,8618.0,0.048,66,Ecuador,ECU,98808010000.0
55,EGY,Egypt,2021-12-24,52819190.0,33098284.0,20627388.0,,729239.0,507100.0,50.66,31.75,19.78,,4864.0,259207.0,0.249,67,"Egypt, Arab Rep.",EGY,365253000000.0
56,ESP,Spain,2021-12-27,85808023.0,39567127.0,37858971.0,13031375.0,364129.0,271271.0,183.57,84.64,80.99,27.88,5803.0,66638.0,0.14300000000000002,70,Spain,ESP,1281480000000.0
57,EST,Estonia,2021-12-28,1515552.0,841035.0,815292.0,,1588.0,825.0,114.37,63.47,61.52,,623.0,400.0,0.03,71,Estonia,EST,30650285472.0
58,ETH,Ethiopia,2021-12-27,10869696.0,9343722.0,1525974.0,,16912.0,31260.0,9.22,7.93,1.29,,265.0,21134.0,0.018000000000000002,72,Ethiopia,ETH,107645000000.0
59,FIN,Finland,2021-12-28,9446063.0,4345684.0,4124118.0,976261.0,9170.0,19375.0,170.25,78.32,74.33,17.6,3492.0,696.0,0.013,75,Finland,FIN,269751000000.0
60,FJI,Fiji,2021-12-20,1267045.0,661452.0,605593.0,,28295.0,1381.0,140.33,73.26,67.07,,1530.0,315.0,0.035,76,Fiji,FJI,4533883782.0
61,FRA,France,2021-12-27,121679573.0,52744304.0,49257657.0,20740215.0,547794.0,407117.0,180.09,78.07,72.9,30.7,6026.0,20182.0,0.03,77,France,FRA,2630320000000.0
62,FRO,Faeroe Islands,2021-12-27,94004.0,41415.0,40474.0,12115.0,69.0,162.0,191.64,84.43,82.51,24.7,3303.0,11.0,0.022,78,Faroe Islands,FRO,
63,GAB,Gabon,2021-12-15,566021.0,392898.0,173123.0,,1486.0,29825.0,24.84,17.24,7.6,,13088.0,27362.0,1.2009999999999998,80,Gabon,GAB,15316826192.0
64,GBR,United Kingdom,2021-12-27,131665127.0,51679435.0,47289628.0,32696064.0,251025.0,449752.0,193.04,75.77,69.33,47.94,6594.0,20230.0,0.03,81,United Kingdom,GBR,2764200000000.0
65,GEO,Georgia,2021-12-28,2495435.0,1355604.0,1139831.0,,13280.0,11530.0,62.7,34.06,28.64,,2897.0,5302.0,0.133,82,Georgia,GEO,15846489611.0
66,GHA,Ghana,2021-12-23,7755231.0,5774413.0,2334010.0,,60270.0,442283.0,24.44,18.2,7.36,,13938.0,390369.0,1.23,83,Ghana,GHA,68532281806.0
67,GIB,Gibraltar,2021-12-22,108149.0,41162.0,40046.0,26941.0,528.0,377.0,321.0,122.18,118.86,79.96,11190.0,9.0,0.027000000000000003,84,Gibraltar,GIB,
68,GIN,Guinea,2021-12-26,2770451.0,1885324.0,885127.0,,34136.0,31448.0,20.53,13.97,6.56,,2330.0,23973.0,0.17800000000000002,85,Guinea,GIN,15681050917.0
69,GMB,Gambia,2021-12-14,276276.0,245081.0,230044.0,,429.0,555.0,11.11,9.85,9.25,,223.0,555.0,0.022,86,"Gambia, The",GMB,1868086275.0
70,GNB,Guinea-Bissau,2021-12-28,413938.0,390794.0,23144.0,,1658.0,260.0,20.54,19.39,1.15,,129.0,218.0,0.011,87,Guinea-Bissau,GNB,1431758243.0
71,GNQ,Equatorial Guinea,2021-12-22,452666.0,249276.0,203390.0,,639.0,299.0,31.22,17.19,14.03,,206.0,19.0,0.001,88,Equatorial Guinea,GNQ,10021856754.0
72,GRC,Greece,2021-12-28,16997869.0,7431369.0,6979152.0,3314982.0,107172.0,68799.0,163.9,71.66,67.3,31.96,6634.0,8178.0,0.079,89,Greece,GRC,188835000000.0
73,GRD,Grenada,2021-12-23,78476.0,41287.0,35457.0,,694.0,340.0,69.44,36.53,31.37,,3008.0,35.0,0.031,90,Grenada,GRD,1042100556.0
74,GRL,Greenland,2021-12-27,78500.0,40447.0,38053.0,,72.0,15.0,138.04,71.12,66.91,,264.0,4.0,0.006999999999999999,91,Greenland,GRL,
75,GTM,Guatemala,2021-12-27,11195184.0,6496038.0,4619695.0,79451.0,50014.0,28334.0,61.34,35.59,25.31,0.44,1553.0,11633.0,0.064,92,Guatemala,GTM,77604632171.0
76,GUY,Guyana,2021-12-23,764898.0,440072.0,314356.0,10470.0,1523.0,8935.0,96.78,55.68,39.78,1.32,11305.0,4700.0,0.595,94,Guyana,GUY,5471256595.0
77,HKG,Hong Kong,2021-12-28,9878448.0,4863263.0,4648817.0,366368.0,22794.0,14168.0,130.79,64.39,61.55,4.85,1876.0,3233.0,0.043,96,"Hong Kong SAR, China",HKG,346586000000.0
78,HND,Honduras,2021-12-22,9188959.0,4941269.0,3952806.0,295259.0,81065.0,8323.0,91.31,49.1,39.28,2.93,827.0,747.0,0.006999999999999999,97,Honduras,HND,23662231634.0
79,HRV,Croatia,2021-12-27,4662872.0,2253137.0,1936734.0,,15512.0,13198.0,114.24,55.2,47.45,,3233.0,1197.0,0.029,99,Croatia,HRV,57203783203.0
80,HTI,Haiti,2021-12-17,194341.0,122580.0,72102.0,,4278.0,779.0,1.68,1.06,0.62,,67.0,362.0,0.003,100,Haiti,HTI,14508218017.0
81,HUN,Hungary,2021-12-28,15074636.0,6257771.0,5973555.0,3161930.0,93527.0,32220.0,156.47,64.95,62.0,32.82,3344.0,2623.0,0.027000000000000003,101,Hungary,HUN,155808000000.0
82,IDN,Indonesia,2021-12-28,269370107.0,157804805.0,111565302.0,,1562465.0,1295368.0,97.47,57.1,40.37,,4687.0,744041.0,0.269,106,Indonesia,IDN,1058420000000.0
83,IMN,Isle of Man,2021-12-28,176561.0,68714.0,65381.0,42466.0,651.0,3186.0,206.72,80.45,76.55,49.72,37302.0,21.0,0.025,108,Isle of Man,IMN,
84,IND,India,2021-12-28,1426069774.0,840095473.0,585974301.0,,7622655.0,5364015.0,102.34,60.29,42.05,,3850.0,1278993.0,0.092,109,India,IND,2660250000000.0
85,IRL,Ireland,2021-12-27,9483918.0,3888361.0,3830750.0,2001608.0,13173.0,49490.0,190.33,78.03,76.88,40.17,9932.0,537.0,0.011,111,Ireland,IRL,425889000000.0
86,IRN,Iran,2021-12-26,116210697.0,59498870.0,51194091.0,3772199.0,171719.0,424394.0,136.67,69.97,60.21,4.44,4991.0,53158.0,0.063,112,"Iran, Islamic Rep.",IRN,203471000000.0
87,IRQ,Iraq,2021-12-27,14140578.0,8482581.0,5639110.0,,9985.0,53475.0,34.34,20.6,13.69,,1299.0,24524.0,0.06,113,Iraq,IRQ,166757000000.0
88,ISL,Iceland,2021-12-28,715062.0,287971.0,283740.0,199406.0,1925.0,700.0,208.25,83.87,82.64,58.07,2039.0,59.0,0.017,114,Iceland,ISL,21718075725.0
89,ISR,Israel,2021-12-28,16655719.0,6536139.0,5901563.0,4218017.0,28205.0,22641.0,179.27,70.35,63.52,45.4,2437.0,8910.0,0.096,115,Israel,ISR,407101000000.0
90,ITA,Italy,2021-12-28,109646086.0,48229182.0,44663239.0,18253942.0,619001.0,384397.0,181.63,79.89,73.99,30.24,6368.0,32306.0,0.054000000000000006,116,Italy,ITA,1888710000000.0
91,JAM,Jamaica,2021-12-28,1199076.0,709671.0,560561.0,3834.0,1.0,1186.0,40.33,23.87,18.85,0.13,399.0,271.0,0.009000000000000001,117,Jamaica,JAM,13812425037.0
92,JOR,Jordan,2021-12-28,8265793.0,4331942.0,3933851.0,,19111.0,13670.0,80.49,42.18,38.31,,1331.0,5927.0,0.058,118,Jordan,JOR,43697659296.0
93,JPN,Japan,2021-12-28,199596362.0,100404891.0,98660175.0,531296.0,255620.0,96085.0,158.35,79.65,78.27,0.42,762.0,25339.0,0.02,119,Japan,JPN,5057760000000.0
94,KAZ,Kazakhstan,2021-12-28,17429286.0,8955943.0,8473343.0,,22069.0,19995.0,91.76,47.15,44.61,,1053.0,6956.0,0.037000000000000005,120,Kazakhstan,KAZ,171082000000.0
95,KEN,Kenya,2021-12-27,9629145.0,6480683.0,3957505.0,,35035.0,79535.0,17.51,11.79,7.2,,1446.0,61852.0,0.112,121,Kenya,KEN,101014000000.0
96,KGZ,Kyrgyzstan,2021-12-28,2243125.0,1225902.0,994171.0,,9880.0,7749.0,33.84,18.49,15.0,,1169.0,3979.0,0.06,122,Kyrgyz Republic,KGZ,7735976273.0
97,KHM,Cambodia,2021-12-28,30336200.0,14253170.0,13645320.0,3490861.0,50560.0,52017.0,179.01,84.11,80.52,20.6,3069.0,2766.0,0.016,123,Cambodia,KHM,25808561551.0
98,KIR,Kiribati,2021-11-30,82167.0,59492.0,22675.0,,,617.0,67.69,49.01,18.68,,5083.0,118.0,0.097,124,Kiribati,KIR,197508774.3
